x y yaw vx_local omega alpha ax x_ref y_ref yaw_ref vx_ref omega_ref alpha_ref ax_ref kx ky kt vx_cmd om_cmd df_fa0 df_da1 df_da2 time
-0.14202740942 -0.0755224097181 6.30744943039 0.187448504575 -0.000936599216723 -0.00167061384394 -2.10909890789 -0.153618575162 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15201087208 13.607069939 42.8571400462 0.13833938342 -0.000952002860852 4.4347722597e-06 5.23025811178e-06 -1.67476046621e-06 1516660682.07
-0.14202740942 -0.0755224097181 6.30744943039 0.187448504575 -0.000936599216723 -0.00167061384394 -2.10909890789 -0.153618575162 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15137983399 13.6064434519 42.8573404973 0.10787302777 -0.000871318798905 6.31038093832e-06 6.26487051384e-06 -2.00451101615e-06 1516660682.08
-0.139632214728 -0.075464290627 6.30743174383 0.118680253143 -0.000876098773385 0.00299687332 -3.40641698816 -0.15145926614 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15092941676 13.6058616498 42.8575267797 0.0567245830178 -0.000953742616794 4.50417225046e-06 5.81802145175e-06 -1.86282476624e-06 1516660682.09
-0.139632214728 -0.075464290627 6.30743174383 0.118680253143 -0.000876098773385 0.00299687332 -3.40641698816 -0.15145926614 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15046138339 13.6052091092 42.8577355595 0.0371895847419 -0.000877853833465 4.68033368074e-06 6.52540535053e-06 -2.08779728209e-06 1516660682.1
-0.138657015285 -0.0754406445408 6.30741299714 0.0532641432942 -0.00102361953518 -0.00805502729014 -3.57189417696 -0.149299957119 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15011486946 13.6046121018 42.8579267036 -0.010610413759 -0.000960348072989 3.46513930364e-06 5.97007485697e-06 -1.91144117068e-06 1516660682.11
-0.138657015285 -0.0754406445408 6.30741299714 0.0532641432942 -0.00102361953518 -0.00805502729014 -3.57189417696 -0.149299957119 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14980109205 13.6039834795 42.8581278146 -0.0185695105238 -0.000879312952101 3.13777417506e-06 6.28622214243e-06 -2.01110968617e-06 1516660682.12
-0.138657015285 -0.0754406445408 6.30739501483 0.0 -0.000838334331458 0.00863798763032 -2.48317189751 -0.147140648098 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14956371877 13.6034078135 42.858312111 -0.0542236871937 -0.000961544211617 2.37373278559e-06 5.75666086833e-06 -1.84296454955e-06 1516660682.13
-0.138657015285 -0.0754406445408 6.30739501483 0.0 -0.000838334331458 0.00863798763032 -2.48317189751 -0.147140648098 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14935878502 13.6028239346 42.8584988982 -0.0542334059116 -0.000883584198248 2.04933742223e-06 5.83878841987e-06 -1.86787223317e-06 1516660682.14
-0.138657015285 -0.0754406445408 6.30737627764 0.0 -0.000931739941968 -0.00464475945544 0.0 -0.144981339077 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14921620352 13.6022998981 42.8586666574 -0.0366409375201 -0.000965282421801 1.42581501994e-06 5.24036503506e-06 -1.6775916504e-06 1516660682.15
-0.138657015285 -0.0754406445408 6.30737627764 0.0 -0.000931739941968 -0.00464475945544 0.0 -0.144981339077 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14906262936 13.601778851 42.8588333306 -0.036651786078 -0.000883197883625 1.53574167373e-06 5.21047100074e-06 -1.66673206458e-06 1516660682.16
-0.138657015285 -0.0754406445408 6.30735791827 0.0 -0.000922257061043 0.000476359171665 0.0 -0.142822030056 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14897967537 13.601310923 42.8589831155 -0.0190603960663 -0.000964321593612 8.29539861056e-07 4.67927979574e-06 -1.49784917576e-06 1516660682.17
-0.138657015285 -0.0754406445408 6.30735791827 0.0 -0.000922257061043 0.000476359171665 0.0 -0.142822030056 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14888921026 13.6008392246 42.8591339928 -0.0190714827952 -0.000883479960093 9.04651092066e-07 4.71698466351e-06 -1.50877305348e-06 1516660682.18
-0.138657015285 -0.0754406445408 6.30733909932 0.0 -0.00113312575235 -0.0126968144164 0.0 -0.140662721035 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14888216228 13.6004348281 42.8592634324 -0.00148065207619 -0.000963964836438 7.04798235176e-08 4.04396409899e-06 -1.29439548399e-06 1516660682.19
-0.138657015285 -0.0754406445408 6.30733909932 0.0 -0.00113312575235 -0.0126968144164 0.0 -0.140662721035 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14887445235 13.6000286389 42.8593933445 -0.00149222379977 -0.000880339798506 7.70992355265e-08 4.06189219383e-06 -1.29912137903e-06 1516660682.2
-0.138657015285 -0.0754406445408 6.30732084847 0.0 -0.000775909014937 0.0151865595351 0.0 -0.138503412014 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.1489598532 13.5996784936 42.8595054095 0.016098750496 -0.000960269441378 -8.54008467735e-07 3.50145330025e-06 -1.12064973357e-06 1516660682.21
-0.138657015285 -0.0754406445408 6.30732084847 0.0 -0.000775909014937 0.0151865595351 0.0 -0.138503412014 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.1490511264 13.5993322012 42.8596161575 0.0160877145617 -0.000878679201881 -9.12732002982e-07 3.46292367994e-06 -1.10747988977e-06 1516660682.22
-0.138331490799 -0.0754327878817 6.30730219851 0.0155507687218 -0.000890675490139 -0.00548096198131 0.742666113894 -0.136344102993 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14924771606 13.5990406763 42.8597094547 0.0492259668602 -0.000958017475504 -1.96589663401e-06 2.91524885052e-06 -9.32972319033e-07 1516660682.23
-0.138331490799 -0.0754327878817 6.30730219851 0.0155507687218 -0.000890675490139 -0.00548096198131 0.742666113894 -0.136344102993 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14945109663 13.5987497232 42.8598024969 0.0465617417985 -0.000874022027036 -2.03380567853e-06 2.90953186522e-06 -9.30421997047e-07 1516660682.24
-0.137362210657 -0.0754094117654 6.30728360657 0.051315982905 -0.000984015124813 -0.00494018452521 1.89294460244 -0.134184793972 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.14977332112 13.5985146955 42.859877707 0.0999105561488 -0.000952788130538 -3.22224485204e-06 2.35027650307e-06 -7.52100682098e-07 1516660682.25
-0.137362210657 -0.0754094117654 6.30728360657 0.051315982905 -0.000984015124813 -0.00494018452521 1.89294460244 -0.134184793972 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15009549935 13.598271294 42.8599555366 0.0919990664616 -0.000868595848204 -3.22178229812e-06 2.43401520654e-06 -7.78295787183e-07 1516660682.26
-0.135454147905 -0.0753634304337 6.30726548914 0.0939139463945 -0.000891472760274 0.00455356940619 2.09604308555 -0.13202548495 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15055695983 13.5980804199 42.8600166123 0.152181442175 -0.000946902136435 -4.61460483722e-06 1.90874104737e-06 -6.10757141119e-07 1516660682.27
-0.135454147905 -0.0753634304337 6.30726548914 0.0939139463945 -0.000891472760274 0.00455356940619 2.09604308555 -0.13202548495 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.15095908296 13.5978647099 42.8600855829 0.136616188668 -0.000864650955206 -4.02123132916e-06 2.15709971767e-06 -6.89706623774e-07 1516660682.28
-0.132457644685 -0.0752912740003 6.30724669361 0.151718967492 -0.00095137934548 -0.00303231152572 2.92593595706 -0.129866175929 0.0 6.2832 0.108253175473 0.0 0.0 0.0 8.1515111065 13.5976987457 42.8601386847 0.212003894116 -0.000942672618338 -5.52023531996e-06 1.65964199194e-06 -5.31017359557e-07 1516660682.29
